6	5	5	6	6	6	6	6	6	6
6	6	6	6	2	6	6	5	6	5
6	5	2	6	6	2	6	5	6	1
6	6	6	6	3	6	6	6	6	6
6	6	2	6	6	6	5	6	5	6
6	1	6	1	6	6	6	2	6	6
6	6	6	6	6	5	6	6	6	6
5	6	0	6	5	6	6	0	5	6
5	6	5	6	6	5	6	6	6	6
6	6	6	6	6	6	6	1	5	6


6	6	0	6	1	6	6	5	6	6
6	6	6	6	6	6	6	6	6	6
0	6	6	6	6	6	5	6	6	5
6	6	0	1	6	0	5	6	6	6
6	6	6	1	6	6	6	6	6	5
5	6	6	6	6	6	0	6	6	6
6	6	6	2	5	6	2	5	6	6
5	6	6	5	6	6	6	6	6	2
6	6	6	6	6	6	6	6	6	6
6	6	1	6	6	0	6	1	6	6


6	6	6	6	1	6	6	1	6	6
6	1	6	6	5	6	6	0	2	6
1	5	6	6	6	6	6	6	6	6
6	6	6	6	6	6	6	6	6	6
6	6	6	6	5	0	6	6	2	5
5	2	6	6	5	5	6	6	6	6
6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	6	6	6	5	2
6	3	0	6	6	0	6	6	1	6
6	6	5	6	6	1	6	6	6	6


5	6	6	6	6	6	6	6	0	5
2	6	5	6	6	6	6	5	6	6
6	5	6	6	6	2	6	6	5	6
6	6	6	6	6	6	6	6	6	6
6	6	2	6	6	6	6	6	6	6
6	6	6	6	6	6	6	0	6	6
6	6	6	6	6	6	6	6	6	6
6	5	6	6	2	6	6	6	5	6
6	6	5	6	6	6	6	2	6	0
5	5	6	6	6	6	6	6	6	5


5	6	6	6	1	6	6	1	6	0
6	6	6	6	6	6	5	6	6	6
5	6	6	1	6	6	6	6	6	6
6	2	6	6	0	6	6	2	6	6
6	6	6	6	6	6	5	6	6	5
5	6	6	3	6	6	6	6	6	6
6	6	5	6	6	2	6	6	5	6
6	6	6	6	6	6	2	6	6	2
6	6	6	0	6	6	6	6	6	6
0	6	5	6	6	5	6	6	6	0


